Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Gradient Boosting Classifier,0.7773,0.8471,0.721,0.5636,0.6322,0.4761,0.4838,0.12
Ada Boost Classifier,0.7631,0.8462,0.7669,0.5387,0.6324,0.4657,0.4818,0.036
Logistic Regression,0.7396,0.8427,0.8089,0.507,0.6228,0.4399,0.4683,0.293
Light Gradient Boosting Machine,0.7884,0.8414,0.6553,0.5927,0.6218,0.4756,0.4772,0.206
Ridge Classifier,0.7314,0.8395,0.8051,0.4975,0.6143,0.4258,0.4556,0.006
Linear Discriminant Analysis,0.7312,0.8395,0.8051,0.4972,0.6141,0.4255,0.4553,0.007
Quadratic Discriminant Analysis,0.7282,0.837,0.8036,0.4938,0.6112,0.4205,0.4504,0.006
Naive Bayes,0.7387,0.8312,0.7982,0.5064,0.619,0.4355,0.4622,0.006
SVM - Linear Kernel,0.7219,0.8265,0.8119,0.4913,0.6093,0.4153,0.4494,0.01
Random Forest Classifier,0.7773,0.8262,0.6078,0.5779,0.5919,0.439,0.4397,0.078
Extra Trees Classifier,0.7698,0.8017,0.5704,0.5673,0.5682,0.4114,0.4118,0.059
K Neighbors Classifier,0.7118,0.7696,0.7079,0.4719,0.5659,0.363,0.3801,0.013
Decision Tree Classifier,0.7223,0.672,0.5612,0.4812,0.5177,0.3246,0.3267,0.01
Dummy Classifier,0.7347,0.5,0.0,0.0,0.0,0.0,0.0,0.006
